Business,Zipcodes,City,Biz Latitude,Biz Longitude
Dragon Star Oriental Foods,55104,Saint Paul,44.96358,-93.12703990000001
Ha Tien Super Market,55119,Saint Paul,44.9504997,-93.01792890000002
88 Oriental Market,55103,Saint Paul,44.95608902,-93.11221313
Hmongtown Marketplace,55103,Saint Paul,44.96147156,-93.1088562
Shuang Hur Oriental Market,55145,Saint Paul,44.95538712,-93.12794495
Sun Foods,55103,Saint Paul,44.95499,-93.12435
Hoa Mei Supermarket & Deli,55106,Saint Paul,44.9772606,-93.0642929
Golden Harvest Foods,55106,Saint Paul,44.9772606,-93.0622406
Double Dragon Foods,55117,Saint Paul,44.97803116,-93.10518646
Golden Karen Groceries,55103,Saint Paul,44.960029999999996,-93.10715
Kim's Oriental Market,55104,Saint Paul,44.96183349,-93.16735013
Shanghai Market,55108,Saint Paul,44.97701263,-93.16553497
Shanghai Wholesale,55413,Minneapolis,44.9952895,-93.2103175
United Noodles,55404,Minneapolis,44.958324,-93.2424698
Hana Asian Market,55425,Bloomington,44.83685,-93.24967
Seoul Oriental Foods,55432,Fridley,45.0807533,-93.24114229999999
Caspian Bistro & Marketplace,55414,Minneapolis,44.973218,-93.222054
Little India,55418,Minneapolis,45.00713,-93.2468
Midtown Global Market,55407,Minneapolis,44.948566,-93.260711
Truong Thanh Grocery Store,55404,Minneapolis,44.956680299999995,-93.278389
Duc Loi Supermarket,55404,Minneapolis,44.9566612,-93.2774734
Saigon Asian Food Market,55337,Burnsville,44.788428100000004,-93.2463804
TBS Mart,55420,Bloomington,44.860838,-93.26903
Asian Direct Oriental Market,55423,Richfield,44.863490000000006,-93.26758000000001
Chan Oriental Market,55420,Minneapolis,44.8395572,-93.2888149
Kt Oriental Market,55423,Minneapolis,44.86645,-93.28885
Jin Jin Shanghai Market,55343,Hopkins,44.92631486,-93.38649526
Groceries of the Orient,55337,Burnsville,44.77504992,-93.31867777
Asian Direct Oriental Market,55378,Savage,44.778141999999995,-93.333283
Bharat Bazaar,55431,Bloomington,44.8575903,-93.30500490000001
Dragon Star Supermarket,55445,Minneapolis,45.09647811,-93.37819498
Vinai Market,55429,Minneapolis,45.0680961,-93.32817490000001
Ethnic Foods Company,55369,Osseo,45.11842,-93.40173
Sun Foods,55429,Brooklyn Center,45.07049,-93.3285
Idly Dosai International Market,55317,Chanhassen,44.86268,-93.53154
Thai Tempo,55379,Shakopee,44.77970205,-93.46891688
Shuang Hur Oriental Market,55408,Minneapolis,44.9533109,-93.27810053
Bill's Imported Foods,55408,Minneapolis,44.94807053,-93.28912354
Koom Siab Grocery & Deli,55444,Minneapolis,45.0949,-93.30190999999999
Bangkok Market & Video Rental,55411,Minneapolis,45.01223755,-93.2875824
So Low Grocery Outlet,55411,Minneapolis,45.01262665,-93.29476929
