,Zipcodes,Population,% Asians,National Rank,Latitude,Longitude,City,State
3,55014,26384.0,1.37 %,"#6,109",45.161745,-93.127980,Circle Pines,Minnesota
4,55016,30141.0,1.39 %,"#6,055",44.826135,-92.926328,Cottage Grove,Minnesota
5,55024,21125.0,1.93 %,"#4,788",44.628546,-93.138429,Farmington,Minnesota
6,55025,19659.0,0.59 %,"#10,586",45.256176,-93.029098,Forest Lake,Minnesota
7,55038,10687.0,1.27 %,"#6,455",45.165641,-92.971909,Hugo,Minnesota
10,55044,35085.0,1.56 %,"#5,603",44.634455,-93.272760,Lakeville,Minnesota
12,55068,20734.0,2.26 %,"#4,260",44.720800,-93.082100,Rosemount,Minnesota
14,55075,20108.0,0.83 %,"#8,578",44.887994,-93.043004,South Saint Paul,Minnesota
15,55076,18589.0,1.35 %,"#6,176",44.840187,-93.037013,Inver Grove Heights,Minnesota
16,55077,10590.0,2.63 %,"#3,743",44.807660,-93.063149,Inver Grove Heights,Minnesota
17,55082,30311.0,0.83 %,"#8,579",45.069391,-92.833860,Stillwater,Minnesota
19,55101,21969.0,25.54 %,#201,44.966917,-93.084634,Saint Paul,Minnesota
20,55102,17727.0,2.70 %,"#3,652",44.933307,-93.121401,Saint Paul,Minnesota
21,55103,14728.0,27.96 %,#169,44.964258,-93.122627,Saint Paul,Minnesota
22,55104,46133.0,9.97 %,#875,44.954158,-93.159601,Saint Paul,Minnesota
23,55105,27818.0,2.22 %,"#4,314",44.934838,-93.165705,Saint Paul,Minnesota
24,55106,54296.0,19.83 %,#308,44.959966,-93.047108,Saint Paul,Minnesota
25,55107,16032.0,8.07 %,"#1,131",44.930730,-93.080271,Saint Paul,Minnesota
26,55108,15914.0,10.31 %,#841,44.980341,-93.174961,Saint Paul,Minnesota
27,55109,30514.0,3.09 %,"#3,192",45.016061,-93.026441,Saint Paul,Minnesota
28,55110,39703.0,1.46 %,"#5,862",45.098195,-93.005239,Saint Paul,Minnesota
29,55112,45035.0,3.83 %,"#2,566",45.081866,-93.190493,Saint Paul,Minnesota
30,55113,38278.0,5.15 %,"#1,881",45.012196,-93.151186,Saint Paul,Minnesota
33,55116,23552.0,3.60 %,"#2,735",44.910719,-93.169581,Saint Paul,Minnesota
34,55117,39578.0,13.39 %,#579,45.003562,-93.091280,Saint Paul,Minnesota
35,55118,27270.0,1.68 %,"#5,277",44.894315,-93.100947,Saint Paul,Minnesota
36,55119,37778.0,6.38 %,"#1,494",44.942599,-93.005601,Saint Paul,Minnesota
39,55122,28019.0,6.14 %,"#1,546",44.811688,-93.194418,Saint Paul,Minnesota
40,55123,27448.0,4.01 %,"#2,435",44.797772,-93.132567,Saint Paul,Minnesota
41,55124,46454.0,3.46 %,"#2,851",44.745053,-93.205486,Saint Paul,Minnesota
42,55125,40093.0,5.04 %,"#1,934",44.918031,-92.938277,Saint Paul,Minnesota
43,55126,25377.0,3.67 %,"#2,681",45.085674,-93.134938,Saint Paul,Minnesota
44,55127,16979.0,4.46 %,"#2,186",45.088675,-93.077568,Saint Paul,Minnesota
45,55128,27309.0,2.42 %,"#4,003",44.987546,-92.963553,Saint Paul,Minnesota
48,55303,42088.0,0.90 %,"#8,157",45.288281,-93.431100,Anoka,Minnesota
49,55304,39049.0,0.98 %,"#7,717",45.258795,-93.269238,Andover,Minnesota
50,55305,19299.0,2.64 %,"#3,734",44.956379,-93.428013,Hopkins,Minnesota
51,55306,15033.0,3.29 %,"#3,010",44.730974,-93.294940,Burnsville,Minnesota
52,55311,19827.0,2.60 %,"#3,785",45.106403,-93.497029,Osseo,Minnesota
53,55316,22422.0,1.65 %,"#5,359",45.165902,-93.414665,Champlin,Minnesota
54,55317,17114.0,3.21 %,"#3,085",44.858704,-93.550209,Chanhassen,Minnesota
55,55318,19232.0,1.58 %,"#5,547",44.810762,-93.636185,Chaska,Minnesota
57,55331,17584.0,1.03 %,"#7,483",44.894464,-93.602068,Excelsior,Minnesota
58,55337,45174.0,4.43 %,"#2,200",44.778472,-93.272269,Burnsville,Minnesota
61,55343,24475.0,4.99 %,"#1,955",44.914356,-93.411657,Hopkins,Minnesota
62,55344,13022.0,6.82 %,"#1,375",44.863384,-93.428318,Eden Prairie,Minnesota
63,55345,22227.0,1.91 %,"#4,823",44.913313,-93.485581,Minnetonka,Minnesota
64,55346,17920.0,3.69 %,"#2,666",44.880818,-93.482099,Eden Prairie,Minnesota
65,55347,23980.0,4.55 %,"#2,133",44.826059,-93.465330,Eden Prairie,Minnesota
69,55364,14983.0,1.24 %,"#6,571",44.945432,-93.693523,Mound,Minnesota
70,55369,33294.0,2.25 %,"#4,273",45.130113,-93.444661,Osseo,Minnesota
71,55372,22828.0,0.85 %,"#8,456",44.682895,-93.403141,Prior Lake,Minnesota
