Zipcodes,Population,% Asians,National Rank,Latitude,Longitude,City,State
55103,14728.0,27.96 %,#169,44.964258,-93.122627,Saint Paul,Minnesota
55101,21969.0,25.54 %,#201,44.966917,-93.084634,Saint Paul,Minnesota
55106,54296.0,19.83 %,#308,44.959966,-93.047108,Saint Paul,Minnesota
55454,6772.0,16.78 %,#408,44.969571,-93.244257,Minneapolis,Minnesota
55411,31689.0,14.98 %,#491,44.999752,-93.297980,Minneapolis,Minnesota
55117,39578.0,13.39 %,#579,45.003562,-93.091280,Saint Paul,Minnesota
55444,15702.0,11.59 %,#700,45.107694,-93.303067,Minneapolis,Minnesota
55412,25010.0,11.08 %,#752,45.025972,-93.300288,Minneapolis,Minnesota
55108,15914.0,10.31 %,#841,44.980341,-93.174961,Saint Paul,Minnesota
55430,21102.0,10.25 %,#844,45.063112,-93.300411,Minneapolis,Minnesota
55414,24126.0,10.08 %,#862,44.978043,-93.223019,Minneapolis,Minnesota
55104,46133.0,9.97 %,#875,44.954158,-93.159601,Saint Paul,Minnesota
55445,8853.0,9.58 %,#919,45.122441,-93.379184,Minneapolis,Minnesota
55405,15909.0,9.29 %,#948,44.971865,-93.302502,Minneapolis,Minnesota
55443,25379.0,8.84 %,"#1,013",45.117609,-93.338118,Minneapolis,Minnesota
55429,25930.0,8.35 %,"#1,087",45.063552,-93.341097,Minneapolis,Minnesota
55107,16032.0,8.07 %,"#1,131",44.930730,-93.080271,Saint Paul,Minnesota
55114,1309.0,7.56 %,"#1,226",44.966690,-93.195072,Saint Paul,Minnesota
55420,21315.0,7.05 %,"#1,330",44.835969,-93.277176,Minneapolis,Minnesota
55344,13022.0,6.82 %,"#1,375",44.863384,-93.428318,Eden Prairie,Minnesota
55119,37778.0,6.38 %,"#1,494",44.942599,-93.005601,Saint Paul,Minnesota
55121,7714.0,6.36 %,"#1,499",44.845104,-93.144259,Saint Paul,Minnesota
56187,12654.0,6.29 %,"#1,518",43.617984,-95.591678,Worthington,Minnesota
55425,9027.0,6.23 %,"#1,527",44.851564,-93.225631,Minneapolis,Minnesota
55122,28019.0,6.14 %,"#1,546",44.811688,-93.194418,Saint Paul,Minnesota
55901,42221.0,5.86 %,"#1,617",44.071655,-92.507712,Rochester,Minnesota
56175,3232.0,5.72 %,"#1,664",44.260146,-95.638718,Tracy,Minnesota
55407,37879.0,5.43 %,"#1,766",44.935036,-93.253029,Minneapolis,Minnesota
55084,1431.0,5.38 %,"#1,783",45.462591,-92.716225,Taylors Falls,Minnesota
55408,30564.0,5.35 %,"#1,796",44.943815,-93.293867,Minneapolis,Minnesota
55455,2036.0,5.35 %,"#1,798",44.971734,-93.235244,Minneapolis,Minnesota
55378,21882.0,5.31 %,"#1,817",44.769329,-93.397360,Savage,Minnesota
55423,34594.0,5.31 %,"#1,818",44.877193,-93.281359,Minneapolis,Minnesota
56158,396.0,5.30 %,"#1,821",43.640672,-96.061481,Magnolia,Minnesota
55435,11268.0,5.24 %,"#1,842",44.873981,-93.335255,Minneapolis,Minnesota
55446,12464.0,5.19 %,"#1,867",45.046438,-93.485395,Minneapolis,Minnesota
55113,38278.0,5.15 %,"#1,881",45.012196,-93.151186,Saint Paul,Minnesota
55906,16153.0,5.06 %,"#1,920",44.099889,-92.408210,Rochester,Minnesota
55125,40093.0,5.04 %,"#1,934",44.918031,-92.938277,Saint Paul,Minnesota
55343,24475.0,4.99 %,"#1,955",44.914356,-93.411657,Hopkins,Minnesota
56159,3089.0,4.98 %,"#1,963",43.946144,-94.934600,Mountain Lake,Minnesota
55129,6285.0,4.80 %,"#2,029",44.925033,-92.889253,Saint Paul,Minnesota
56763,5276.0,4.62 %,"#2,093",48.778425,-95.275566,Warroad,Minnesota
55438,17425.0,4.59 %,"#2,106",44.826731,-93.379393,Minneapolis,Minnesota
