,Zipcodes,Zipcode Latitude,Zipcode Longitude,Business,City,Zipcodes,Biz Latitude,Biz Longitude
11,55075,44.887994,-93.043004,Dragon Star Oriental Foods,Saint Paul,55104,44.96358,-93.1270399
12,55075,44.887994,-93.043004,Ha Tien Super Market,Saint Paul,55119,44.9504997,-93.0179289
13,55075,44.887994,-93.043004,88 Oriental Market,Saint Paul,55103,44.95608902,-93.11221313
14,55075,44.887994,-93.043004,Hmongtown Marketplace,Saint Paul,55103,44.96147156,-93.1088562
15,55075,44.887994,-93.043004,Shuang Hur Oriental Market,Saint Paul,55145,44.95538712,-93.12794495
17,55075,44.887994,-93.043004,Sun Foods,Saint Paul,55103,44.95499,-93.12435
18,55075,44.887994,-93.043004,Hoa Mei Supermarket & Deli,Saint Paul,55106,44.9772606,-93.0642929
19,55075,44.887994,-93.043004,Golden Harvest Foods,Saint Paul,55106,44.9772606,-93.0622406
20,55075,44.887994,-93.043004,Double Dragon Foods,Saint Paul,55117,44.97803116,-93.10518646
25,55075,44.887994,-93.043004,Golden Karen Groceries,Saint Paul,55103,44.96003,-93.10715
27,55076,44.840187,-93.037013,Ha Tien Super Market,Saint Paul,55119,44.9504997,-93.0179289
28,55076,44.840187,-93.037013,88 Oriental Market,Saint Paul,55103,44.95608902,-93.11221313
29,55076,44.840187,-93.037013,Hmongtown Marketplace,Saint Paul,55103,44.96147156,-93.1088562
30,55076,44.840187,-93.037013,Sun Foods,Saint Paul,55103,44.95499,-93.12435
34,55076,44.840187,-93.037013,Golden Karen Groceries,Saint Paul,55103,44.96003,-93.10715
39,55101,44.966917,-93.084634,Dragon Star Oriental Foods,Saint Paul,55104,44.96358,-93.1270399
40,55101,44.966917,-93.084634,Ha Tien Super Market,Saint Paul,55119,44.9504997,-93.0179289
41,55101,44.966917,-93.084634,88 Oriental Market,Saint Paul,55103,44.95608902,-93.11221313
42,55101,44.966917,-93.084634,Kim's Oriental Market,Saint Paul,55104,44.96183349,-93.16735013
43,55101,44.966917,-93.084634,Hmongtown Marketplace,Saint Paul,55103,44.96147156,-93.1088562
44,55101,44.966917,-93.084634,Golden Harvest Foods,Saint Paul,55106,44.9772606,-93.0622406
45,55101,44.966917,-93.084634,Hoa Mei Supermarket & Deli,Saint Paul,55106,44.9772606,-93.0642929
46,55101,44.966917,-93.084634,Double Dragon Foods,Saint Paul,55117,44.97803116,-93.10518646
47,55101,44.966917,-93.084634,Shuang Hur Oriental Market,Saint Paul,55145,44.95538712,-93.12794495
48,55101,44.966917,-93.084634,Sun Foods,Saint Paul,55103,44.95499,-93.12435
50,55101,44.966917,-93.084634,Shanghai Market,Saint Paul,55108,44.97701263,-93.16553497
53,55101,44.966917,-93.084634,Golden Karen Groceries,Saint Paul,55103,44.96003,-93.10715
62,55102,44.933307,-93.121401,Dragon Star Oriental Foods,Saint Paul,55104,44.96358,-93.1270399
63,55102,44.933307,-93.121401,Kim's Oriental Market,Saint Paul,55104,44.96183349,-93.16735013
64,55102,44.933307,-93.121401,Shuang Hur Oriental Market,Saint Paul,55145,44.95538712,-93.12794495
65,55102,44.933307,-93.121401,88 Oriental Market,Saint Paul,55103,44.95608902,-93.11221313
66,55102,44.933307,-93.121401,Sun Foods,Saint Paul,55103,44.95499,-93.12435
67,55102,44.933307,-93.121401,Hmongtown Marketplace,Saint Paul,55103,44.96147156,-93.1088562
68,55102,44.933307,-93.121401,Shanghai Wholesale,Minneapolis,55413,44.9952895,-93.2103175
69,55102,44.933307,-93.121401,Double Dragon Foods,Saint Paul,55117,44.97803116,-93.10518646
70,55102,44.933307,-93.121401,Hoa Mei Supermarket & Deli,Saint Paul,55106,44.9772606,-93.0642929
