,Zipcodes,Zipcode Latitude,Zipcode Longitude,Business,City,Biz Zipcode,Biz Latitude,Biz Longitude
0,55014,45.161745,-93.12798,Aldi,Mounds View,55112,45.1058124,-93.2096783
1,55014,45.161745,-93.12798,Cub Foods,Arden Hills,55126,45.0539865,-93.1471417
2,55016,44.826135,-92.926328,Spice Bazaar,Woodbury,55125,44.926034,-92.966741
3,55016,44.826135,-92.926328,Kowalski's Market,Woodbury,55125,44.91825,-92.93271
4,55024,44.628546,-93.138429,Fresh Thyme Farmers Market,Apple Valley,55124,44.7346506372045,-93.2055488
5,55024,44.628546,-93.138429,Hy-Vee,Lakeville,55044,44.715717,-93.1765775
6,55024,44.628546,-93.138429,Walmart Supercenter,Apple Valley,55124,44.7343725,-93.2245864
7,55044,44.634455,-93.27276,Hy-Vee Savage,Savage,55378,44.747856,-93.357161
8,55044,44.634455,-93.27276,Fresh Thyme Farmers Market,Apple Valley,55124,44.7346506372045,-93.2055488
9,55044,44.634455,-93.27276,Walmart Supercenter,Apple Valley,55124,44.7343725,-93.2245864
10,55068,44.7208,-93.0821,Hy-Vee,Eagan,55121,44.834436,-93.171476
11,55075,44.887994,-93.043004,Dragon Star Oriental Foods,Saint Paul,55104,44.96358,-93.1270399
12,55075,44.887994,-93.043004,Ha Tien Super Market,Saint Paul,55119,44.9504997,-93.0179289
13,55075,44.887994,-93.043004,88 Oriental Market,Saint Paul,55103,44.9560890197754,-93.1122131347656
14,55075,44.887994,-93.043004,Hmongtown Marketplace,Saint Paul,55103,44.9614715576172,-93.1088562011719
15,55075,44.887994,-93.043004,Shuang Hur Oriental Market,Saint Paul,55145,44.9553871154785,-93.1279449462891
16,55075,44.887994,-93.043004,Spice Bazaar,Woodbury,55125,44.926034,-92.966741
17,55075,44.887994,-93.043004,Sun Foods,Saint Paul,55103,44.95499,-93.12435
18,55075,44.887994,-93.043004,Hoa Mei Supermarket & Deli,Saint Paul,55106,44.9772606,-93.0642929
19,55075,44.887994,-93.043004,Golden Harvest Foods,Saint Paul,55106,44.9772606,-93.0622406
20,55075,44.887994,-93.043004,Double Dragon Foods,Saint Paul,55117,44.9780311584473,-93.1051864624023
21,55075,44.887994,-93.043004,Hy-Vee,Oakdale,55128,44.964436,-92.960653
22,55075,44.887994,-93.043004,The Olive Grove,Mendota Heights,55118,44.8847776311366,-93.1207394599915
23,55075,44.887994,-93.043004,St Paul Farmers' Market,Saint Paul,55101,44.9496031,-93.0850958
24,55075,44.887994,-93.043004,Lunds & Byerlys,Saint Paul,55101,44.9511210066,-93.0950692990493
25,55075,44.887994,-93.043004,Golden Karen Groceries,Saint Paul,55103,44.96003,-93.10715
26,55075,44.887994,-93.043004,52 Market & Trading,Saint Paul,55106,44.9709854125977,-93.0657043457031
27,55076,44.840187,-93.037013,Ha Tien Super Market,Saint Paul,55119,44.9504997,-93.0179289
28,55076,44.840187,-93.037013,88 Oriental Market,Saint Paul,55103,44.9560890197754,-93.1122131347656
29,55076,44.840187,-93.037013,Hmongtown Marketplace,Saint Paul,55103,44.9614715576172,-93.1088562011719
30,55076,44.840187,-93.037013,Sun Foods,Saint Paul,55103,44.95499,-93.12435
31,55076,44.840187,-93.037013,Spice Bazaar,Woodbury,55125,44.926034,-92.966741
32,55076,44.840187,-93.037013,The Olive Grove,Mendota Heights,55118,44.8847776311366,-93.1207394599915
33,55076,44.840187,-93.037013,St Paul Farmers' Market,Saint Paul,55101,44.9496031,-93.0850958
34,55076,44.840187,-93.037013,Golden Karen Groceries,Saint Paul,55103,44.96003,-93.10715
35,55076,44.840187,-93.037013,Hy-Vee,Oakdale,55128,44.964436,-92.960653
36,55076,44.840187,-93.037013,Lunds & Byerlys,Saint Paul,55101,44.9511210066,-93.0950692990493
37,55077,44.80766,-93.063149,The Olive Grove,Mendota Heights,55118,44.8847776311366,-93.1207394599915
38,55082,45.069391,-92.83386,Walmart Supercenter,Oak Park Heights,55082,45.03345,-92.83159
39,55101,44.966917,-93.084634,Dragon Star Oriental Foods,Saint Paul,55104,44.96358,-93.1270399
40,55101,44.966917,-93.084634,Ha Tien Super Market,Saint Paul,55119,44.9504997,-93.0179289
